company,model,drivetrain,class,seat,price_raw,range_raw,efficiency,weight,zero_to_sixty,one_stop_range,battery,rapidcharge,towing,boot_space,price_range
Fiat,500e Hatchback 42 kWh,Front Wheel Drive,B,4,"£27,995",145 mi,257 Wh/mi,"1,365 kg",9.0 sec,162 mi,37.3 kWh,67 kW,0 kg,185 L,£193 /mi
Vauxhall,Corsa-e(MY22-23),Front Wheel Drive,B,5,"£33,930",180 mi,257 Wh/mi,"1,530 kg",8.1 sec,199 mi,46.3 kWh,78 kW,0 kg,267 L,£189 /mi
Volkswagen,ID. Buzz LWB GTX,All Wheel Drive,N,7,"£67,795",235 mi,366 Wh/mi,"2,758 kg",6.5 sec,264 mi,86.0 kWh,145 kW,"1,600 kg","1,340 L",£288 /mi
Hyundai,INSTER Standard Range,Front Wheel Drive,A,4,"£23,495",155 mi,252 Wh/mi,"1,380 kg",11.7 sec,165 mi,39.0 kWh,60 kW,unknown,280 L,£152 /mi
Tesla,Model 3 RWD(CATL LFP60),Rear Wheel Drive,D,5,"£42,990",250 mi,228 Wh/mi,"1,835 kg",6.1 sec,291 mi,57.0 kWh,100 kW,"1,000 kg",649 L,£172 /mi
Tesla,Model Y RWD(CATL LFP),Rear Wheel Drive,D,5,"£44,990",215 mi,265 Wh/mi,"1,984 kg",6.9 sec,254 mi,57.0 kWh,108 kW,"1,600 kg",971 L,£209 /mi
Hyundai,IONIQ 5 84 kWh AWD(MY24),All Wheel Drive,C,5,"£50,900",275 mi,291 Wh/mi,"2,165 kg",5.3 sec,344 mi,80.0 kWh,205 kW,"1,600 kg",544 L,£185 /mi
Ford,Capri Extended Range AWD,All Wheel Drive,D,5,"£56,175",285 mi,277 Wh/mi,"2,175 kg",5.3 sec,321 mi,79.0 kWh,135 kW,"1,200 kg",572 L,£197 /mi
BMW,i4 M50,All Wheel Drive,D,5,"£72,375",280 mi,290 Wh/mi,"2,290 kg",3.9 sec,321 mi,81.3 kWh,131 kW,"1,600 kg",470 L,£258 /mi
Suzuki,e VITARA 61 kWh 4WD AllGrip,All Wheel Drive,B,5,"£34,999",190 mi,315 Wh/mi,"1,935 kg",7.4 sec,178 mi,59.8 kWh,60 kW,750 kg,238 L,£184 /mi
Volkswagen,ID.3 Pro,Rear Wheel Drive,C,5,"£44,990",220 mi,264 Wh/mi,"1,815 kg",7.3 sec,235 mi,58.0 kWh,82 kW,0 kg,385 L,£205 /mi
Hyundai,IONIQ 5 63 kWh RWD(MY24),Rear Wheel Drive,C,5,"£39,900",215 mi,279 Wh/mi,"1,955 kg",8.5 sec,263 mi,60.0 kWh,150 kW,750 kg,577 L,£186 /mi
Polestar,2 Long Range Single Motor(MY24),Rear Wheel Drive,D,5,"£48,950",290 mi,272 Wh/mi,"2,084 kg",6.2 sec,329 mi,79.0 kWh,125 kW,"1,500 kg",446 L,£169 /mi
Alpine,A290 Electric 220 hp,Front Wheel Drive,B,5,"£34,500",190 mi,274 Wh/mi,"1,554 kg",6.4 sec,196 mi,52.0 kWh,70 kW,500 kg,326 L,£182 /mi
MG,IM5 Standard Range,Rear Wheel Drive,D,5,"£39,450",250 mi,294 Wh/mi,"2,180 kg",6.8 sec,280 mi,73.5 kWh,120 kW,unknown,475 L,£158 /mi
Audi,e-tron 50 quattro,All Wheel Drive,E,5,"£60,600",175 mi,370 Wh/mi,"2,445 kg",6.8 sec,186 mi,64.7 kWh,114 kW,"1,800 kg",660 L,£346 /mi
Jaguar,I-Pace EV400,All Wheel Drive,D,5,"£66,350",235 mi,360 Wh/mi,"2,208 kg",4.8 sec,224 mi,84.7 kWh,85 kW,750 kg,505 L,£282 /mi
Vauxhall,Mokka-e,Front Wheel Drive,B,5,"£36,610",160 mi,289 Wh/mi,"1,598 kg",9.2 sec,177 mi,46.3 kWh,78 kW,0 kg,310 L,£229 /mi
BYD,ATTO 2 64.8 kWh,Front Wheel Drive,B,5,"£34,950",195 mi,297 Wh/mi,"1,680 kg",7.9 sec,216 mi,58.0 kWh,100 kW,unknown,400 L,£179 /mi
Kia,EV6 Long Range AWD,All Wheel Drive,C,5,"£51,745",250 mi,296 Wh/mi,"2,090 kg",5.2 sec,314 mi,74.0 kWh,200 kW,"1,600 kg",500 L,£207 /mi
BMW,i4 M60 xDrive,All Wheel Drive,D,5,"£71,000",285 mi,285 Wh/mi,"2,285 kg",3.7 sec,326 mi,81.1 kWh,130 kW,"1,600 kg",470 L,£249 /mi
Citroën,ë-C3 Comfort Range 44 kWh,Front Wheel Drive,B,5,"£20,595",155 mi,283 Wh/mi,"1,491 kg",11.5 sec,168 mi,43.8 kWh,60 kW,550 kg,310 L,£133 /mi
Tesla,Model 3 Performance(Highland),All Wheel Drive,D,5,"£59,990",320 mi,247 Wh/mi,"1,929 kg",3.4 sec,375 mi,79.0 kWh,120 kW,0 kg,682 L,£187 /mi
Vauxhall,Astra Electric,Front Wheel Drive,C,5,"£33,505",195 mi,261 Wh/mi,"1,736 kg",9.2 sec,213 mi,50.8 kWh,85 kW,0 kg,352 L,£172 /mi
Hyundai,Kona Electric 64 kWh,Front Wheel Drive,B,5,"£39,150",240 mi,267 Wh/mi,"1,760 kg",7.9 sec,226 mi,64.0 kWh,64 kW,0 kg,361 L,£163 /mi
BYD,DOLPHIN 60.4 kWh(MY24),Front Wheel Drive,C,5,"£30,195",215 mi,281 Wh/mi,"1,733 kg",7.0 sec,210 mi,60.5 kWh,65 kW,0 kg,345 L,£140 /mi
Nissan,Ariya e-4ORCE 87kWh - 225 kW,All Wheel Drive,C,5,"£45,500",250 mi,348 Wh/mi,"2,259 kg",5.7 sec,249 mi,87.0 kWh,110 kW,"1,500 kg",415 L,£182 /mi
CUPRA,Born 59 kWh e-Boost,Rear Wheel Drive,C,5,"£34,190",225 mi,262 Wh/mi,"1,841 kg",6.7 sec,258 mi,59.0 kWh,110 kW,0 kg,385 L,£152 /mi
Renault,4 E-Tech 52kWh 150hp,Front Wheel Drive,B,5,"£25,495",195 mi,267 Wh/mi,"1,537 kg",8.2 sec,203 mi,52.0 kWh,70 kW,750 kg,420 L,£131 /mi
Kia,EV5 81.4 kWh(MY26),Front Wheel Drive,C,5,"£39,295",250 mi,312 Wh/mi,"2,069 kg",8.4 sec,262 mi,78.0 kWh,115 kW,"1,200 kg",566 L,£157 /mi
Mini,Cooper SE,Front Wheel Drive,B,4,"£32,550",110 mi,263 Wh/mi,"1,440 kg",7.3 sec,114 mi,28.9 kWh,44 kW,0 kg,211 L,£296 /mi
Jeep,Avenger Electric,Front Wheel Drive,B,5,"£34,800",190 mi,267 Wh/mi,"1,595 kg",9.0 sec,203 mi,50.8 kWh,85 kW,0 kg,355 L,£183 /mi
Porsche,Macan Electric(MY25),Rear Wheel Drive,D,5,"£68,500",305 mi,311 Wh/mi,"2,295 kg",5.7 sec,365 mi,95.0 kWh,200 kW,"2,000 kg",624 L,£225 /mi
Lexus,UX 300e,Front Wheel Drive,C,5,"£39,995",210 mi,305 Wh/mi,"1,850 kg",7.5 sec,181 mi,64.0 kWh,35 kW,0 kg,316 L,£190 /mi
Citroën,ë-C3 Aircross Extended Range 54 kWh,Front Wheel Drive,B,5,"£23,495",180 mi,297 Wh/mi,"1,608 kg",13.0 sec,185 mi,53.5 kWh,70 kW,550 kg,460 L,£131 /mi
Škoda,Enyaq iV 60(MY21-23),Rear Wheel Drive,C,5,"£38,970",210 mi,276 Wh/mi,"1,965 kg",8.7 sec,224 mi,58.0 kWh,82 kW,"1,000 kg",585 L,£186 /mi
MG,ZS EV Standard Range,Front Wheel Drive,B,5,"£30,495",165 mi,297 Wh/mi,"1,645 kg",8.6 sec,160 mi,49.0 kWh,50 kW,500 kg,448 L,£185 /mi
Peugeot,e-2008 54 kWh,Front Wheel Drive,B,5,"£33,900",185 mi,275 Wh/mi,"1,623 kg",9.1 sec,201 mi,50.8 kWh,85 kW,0 kg,434 L,£183 /mi
Volkswagen,ID.7 Tourer Pro S(MY26),Rear Wheel Drive,E,5,"£55,280",320 mi,269 Wh/mi,"2,235 kg",6.7 sec,366 mi,86.0 kWh,145 kW,"1,000 kg",605 L,£173 /mi
BYD,DOLPHIN 44.9 kWh Active(MY24),Front Wheel Drive,C,5,"£26,195",160 mi,281 Wh/mi,"1,650 kg",12.3 sec,156 mi,44.9 kWh,50 kW,0 kg,345 L,£164 /mi
MG,MG4 EV XPOWER,All Wheel Drive,C,5,"£36,495",200 mi,309 Wh/mi,"1,878 kg",3.8 sec,224 mi,61.7 kWh,115 kW,500 kg,363 L,£182 /mi
Hyundai,IONIQ 5 Long Range AWD(MY21),All Wheel Drive,C,5,"£45,145",225 mi,311 Wh/mi,"2,095 kg",5.2 sec,281 mi,70.0 kWh,185 kW,"1,600 kg",555 L,£201 /mi
Kia,EV4 Fastback 81.4 kWh,Front Wheel Drive,C,5,"£40,895",305 mi,256 Wh/mi,"1,900 kg",7.7 sec,322 mi,78.0 kWh,105 kW,"1,000 kg",490 L,£134 /mi
Nissan,LEAF Standard Range 52 kWh(MY26),Front Wheel Drive,C,5,"£28,250 *",200 mi,260 Wh/mi,"1,889 kg",8.6 sec,213 mi,52.0 kWh,70 kW,975 kg,437 L,£141 /mi
Tesla,Model Y Performance,All Wheel Drive,D,5,"£59,990",265 mi,283 Wh/mi,"2,072 kg",4.0 sec,314 mi,75.0 kWh,124 kW,"1,600 kg",971 L,£226 /mi
Citroën,ë-C4,Front Wheel Drive,C,5,"£31,960",180 mi,257 Wh/mi,"1,636 kg",9.7 sec,198 mi,46.3 kWh,78 kW,0 kg,380 L,£178 /mi
Hyundai,IONIQ 9 Long Range AWD,All Wheel Drive,F,7,"£73,495",305 mi,348 Wh/mi,"2,653 kg",6.7 sec,352 mi,106.0 kWh,195 kW,"2,500 kg",390 L,£241 /mi
CUPRA,Tavascan VZ,All Wheel Drive,C,5,"£55,935",265 mi,291 Wh/mi,"2,273 kg",5.5 sec,277 mi,77.0 kWh,120 kW,"1,200 kg",540 L,£211 /mi
Ford,Capri Standard Range RWD,Rear Wheel Drive,D,5,"£42,075",195 mi,267 Wh/mi,"1,914 kg",9.0 sec,222 mi,52.0 kWh,85 kW,"1,000 kg",572 L,£216 /mi
Škoda,Enyaq 85x(MY25),All Wheel Drive,C,5,"£48,760",280 mi,275 Wh/mi,"2,230 kg",6.7 sec,311 mi,77.0 kWh,120 kW,"1,200 kg",585 L,£174 /mi
Polestar,5 Dual Motor,All Wheel Drive,F,4,"£89,500",360 mi,294 Wh/mi,"2,462 kg",3.9 sec,434 mi,106.0 kWh,210 kW,"1,800 kg",427 L,£249 /mi
Hyundai,IONIQ 9 Long Range RWD,Rear Wheel Drive,F,7,"£64,995",310 mi,342 Wh/mi,"2,612 kg",9.4 sec,352 mi,106.0 kWh,195 kW,"1,600 kg",426 L,£210 /mi
BYD,ATTO 2,Front Wheel Drive,B,5,"£30,850",150 mi,301 Wh/mi,"1,645 kg",7.9 sec,146 mi,45.1 kWh,51 kW,750 kg,400 L,£206 /mi
Changan,Deepal S07 Standard,Rear Wheel Drive,D,5,"£39,990",255 mi,306 Wh/mi,"2,148 kg",7.9 sec,240 mi,78.0 kWh,70 kW,"1,500 kg",635 L,£157 /mi
MG,ZS EV,Front Wheel Drive,B,5,"£26,095",135 mi,315 Wh/mi,"1,566 kg",8.2 sec,138 mi,42.5 kWh,53 kW,0 kg,448 L,£193 /mi
Ford,Explorer Standard Range RWD,Rear Wheel Drive,C,5,"£39,875",190 mi,274 Wh/mi,"1,908 kg",8.7 sec,210 mi,52.0 kWh,85 kW,"1,000 kg",536 L,£210 /mi
Mini,Aceman SE,Front Wheel Drive,B,5,"£36,300",180 mi,273 Wh/mi,"1,785 kg",7.1 sec,191 mi,49.2 kWh,75 kW,750 kg,300 L,£202 /mi
Nissan,e-NV200 Combi,Front Wheel Drive,N,7,"£32,755",105 mi,352 Wh/mi,"1,667 kg",14.0 sec,98 mi,37.0 kWh,40 kW,0 kg,"2,000 L",£312 /mi
CUPRA,Born 58 kWh,Rear Wheel Drive,C,5,"£34,125",215 mi,270 Wh/mi,"1,811 kg",7.3 sec,233 mi,58.0 kWh,82 kW,0 kg,385 L,£159 /mi
Kia,EV9 99.8 kWh RWD,Rear Wheel Drive,F,7,"£65,035",280 mi,343 Wh/mi,"2,501 kg",9.4 sec,312 mi,96.0 kWh,194 kW,900 kg,423 L,£232 /mi
Fiat,Grande Panda,Front Wheel Drive,B,5,"£21,035",160 mi,274 Wh/mi,"1,511 kg",11.0 sec,168 mi,43.8 kWh,60 kW,550 kg,361 L,£131 /mi
Polestar,2 Long Range Dual Motor,All Wheel Drive,D,5,"£49,550",240 mi,313 Wh/mi,"2,188 kg",4.7 sec,260 mi,75.0 kWh,108 kW,"1,500 kg",440 L,£206 /mi
Volkswagen,ID.5 Pro(MY24-25),Rear Wheel Drive,C,5,"£50,940",285 mi,270 Wh/mi,"2,130 kg",6.7 sec,316 mi,77.0 kWh,120 kW,"1,000 kg",549 L,£179 /mi
Mazda,6e Long Range 80 kWh,Rear Wheel Drive,D,5,"£42,000 *",275 mi,273 Wh/mi,"2,037 kg",7.8 sec,262 mi,75.0 kWh,70 kW,"1,500 kg",526 L,£153 /mi
Volkswagen,ID.4 Pro Performance,Rear Wheel Drive,C,5,"£46,035",255 mi,302 Wh/mi,"2,109 kg",8.5 sec,271 mi,77.0 kWh,125 kW,"1,000 kg",543 L,£181 /mi
Toyota,bZ4X AWD 73.1 kWh(MY25),All Wheel Drive,C,5,"£51,545",230 mi,300 Wh/mi,"2,120 kg",5.1 sec,257 mi,69.0 kWh,110 kW,"1,500 kg",452 L,£224 /mi
Volkswagen,ID.3 Pro,Rear Wheel Drive,C,5,"£28,420",215 mi,270 Wh/mi,"1,805 kg",9.6 sec,235 mi,58.0 kWh,82 kW,0 kg,385 L,£132 /mi
Tesla,Model S Plaid,All Wheel Drive,F,5,"£100,000 *",345 mi,275 Wh/mi,"2,265 kg",2.4 sec,395 mi,95.0 kWh,140 kW,"1,600 kg",798 L,£290 /mi
BMW,iX xDrive 45,All Wheel Drive,E,5,"£75,305",290 mi,327 Wh/mi,"2,525 kg",5.1 sec,304 mi,94.8 kWh,115 kW,"2,500 kg",500 L,£260 /mi
Peugeot,e-3008 97 kWh Long Range,Front Wheel Drive,C,5,"£48,660",310 mi,313 Wh/mi,"2,241 kg",8.7 sec,318 mi,96.9 kWh,135 kW,"1,200 kg",588 L,£157 /mi
Lotus,Emeya,All Wheel Drive,F,5,"£96,255",325 mi,304 Wh/mi,"2,555 kg",4.2 sec,413 mi,98.9 kWh,240 kW,"2,250 kg",543 L,£296 /mi
Tesla,Model X 100D,All Wheel Drive,F,7,"£91,650",270 mi,352 Wh/mi,"2,533 kg",4.9 sec,270 mi,95.0 kWh,100 kW,"2,250 kg",unknown,£339 /mi
Hyundai,Kona Electric 48 kWh,Front Wheel Drive,B,5,"£34,995",180 mi,269 Wh/mi,"1,690 kg",8.8 sec,179 mi,48.4 kWh,50 kW,300 kg,493 L,£194 /mi
Volkswagen,ID.4 GTX(MY26),All Wheel Drive,C,5,"£52,245",270 mi,293 Wh/mi,"2,248 kg",5.4 sec,301 mi,79.0 kWh,135 kW,"1,800 kg",543 L,£194 /mi
BMW,iX xDrive 60,All Wheel Drive,E,5,"£93,105",325 mi,336 Wh/mi,"2,580 kg",4.6 sec,344 mi,109.1 kWh,150 kW,"2,500 kg",500 L,£286 /mi
Volvo,EX90 Twin Motor Performance(MY24-25),All Wheel Drive,F,7,"£99,960",300 mi,357 Wh/mi,"2,762 kg",4.9 sec,325 mi,107.0 kWh,150 kW,"2,200 kg",703 L,£333 /mi
Kia,EV6 AWD,All Wheel Drive,C,5,"£52,085",270 mi,296 Wh/mi,"2,160 kg",5.2 sec,341 mi,80.0 kWh,205 kW,"1,800 kg",510 L,£193 /mi
Tesla,Model X Plaid,All Wheel Drive,F,6,"£120,000 *",290 mi,328 Wh/mi,"2,539 kg",2.9 sec,321 mi,95.0 kWh,140 kW,"2,250 kg",608 L,£414 /mi
Toyota,bZ4X AWD(MY22-24),All Wheel Drive,C,5,"£48,625",215 mi,298 Wh/mi,"2,070 kg",6.9 sec,234 mi,64.0 kWh,100 kW,750 kg,452 L,£226 /mi
MG,Cyberster GT,All Wheel Drive,S,2,"£59,995",245 mi,304 Wh/mi,"2,060 kg",3.2 sec,254 mi,74.4 kWh,85 kW,unknown,249 L,£245 /mi
Vauxhall,Corsa-e(MY20-21),Front Wheel Drive,B,5,"£27,140",175 mi,265 Wh/mi,"1,530 kg",8.1 sec,193 mi,46.3 kWh,78 kW,0 kg,267 L,£155 /mi
MG,MG5 EV Long Range,Front Wheel Drive,C,5,"£28,995",210 mi,273 Wh/mi,"1,625 kg",7.7 sec,192 mi,57.4 kWh,53 kW,0 kg,464 L,£138 /mi
Volkswagen,ID.7 Pro S(MY24-25),Rear Wheel Drive,E,5,"£55,450",325 mi,265 Wh/mi,"2,226 kg",6.6 sec,373 mi,86.0 kWh,145 kW,"1,000 kg",532 L,£171 /mi
BYD,DOLPHIN SURF 30 kWh Active,Front Wheel Drive,B,4,"£18,650",115 mi,261 Wh/mi,"1,369 kg",11.1 sec,124 mi,30.0 kWh,45 kW,0 kg,308 L,£162 /mi
Rolls-Royce,Spectre,All Wheel Drive,F,4,"£330,000",290 mi,352 Wh/mi,"2,965 kg",4.5 sec,307 mi,102.0 kWh,126 kW,unknown,380 L,"£1,138 /mi"
Škoda,Enyaq 85x(MY24),All Wheel Drive,C,5,"£48,605",270 mi,285 Wh/mi,"2,213 kg",6.6 sec,301 mi,77.0 kWh,120 kW,"1,200 kg",585 L,£180 /mi
Leapmotor,C10 RWD 69.9 kWh,Rear Wheel Drive,D,5,"£32,750",220 mi,318 Wh/mi,"2,055 kg",7.5 sec,204 mi,69.9 kWh,70 kW,"1,500 kg",435 L,£149 /mi
Volkswagen,ID.4 Pro(MY26),Rear Wheel Drive,C,5,"£35,495",275 mi,280 Wh/mi,"2,139 kg",6.7 sec,304 mi,77.0 kWh,120 kW,"1,000 kg",543 L,£129 /mi
Jaguar,I-Pace EV400,All Wheel Drive,D,5,"£64,495",235 mi,360 Wh/mi,"2,208 kg",4.8 sec,224 mi,84.7 kWh,85 kW,750 kg,505 L,£274 /mi
BMW,i4 M50,All Wheel Drive,D,5,"£71,085",280 mi,288 Wh/mi,"2,290 kg",3.9 sec,317 mi,80.7 kWh,131 kW,"1,600 kg",470 L,£254 /mi
Toyota,Proace Verso Long 75 kWh,Front Wheel Drive,N,9,"£46,477",160 mi,431 Wh/mi,"2,240 kg",13.3 sec,157 mi,69.0 kWh,79 kW,"1,000 kg",989 L,£290 /mi
XPENG,G6 RWD Standard Range(MY24),Rear Wheel Drive,D,5,"£39,990",225 mi,290 Wh/mi,"2,100 kg",6.9 sec,273 mi,65.3 kWh,140 kW,"1,500 kg",571 L,£178 /mi
BYD,DOLPHIN 60.4 kWh(MY25),Front Wheel Drive,C,5,"£30,205",215 mi,281 Wh/mi,"1,733 kg",7.0 sec,220 mi,60.5 kWh,75 kW,0 kg,345 L,£140 /mi
BMW,i3s 120 Ah,Rear Wheel Drive,B,4,"£34,805",140 mi,271 Wh/mi,"1,365 kg",6.9 sec,133 mi,37.9 kWh,47 kW,0 kg,260 L,£249 /mi
BYD,SEALION 7 82.5 kWh AWD Design,All Wheel Drive,D,5,"£51,990",250 mi,330 Wh/mi,"2,415 kg",4.5 sec,268 mi,82.5 kWh,115 kW,"1,500 kg",578 L,£208 /mi
Polestar,2 Long Range Dual Motor(MY26),All Wheel Drive,D,5,"£53,160",280 mi,282 Wh/mi,"2,183 kg",4.5 sec,319 mi,79.0 kWh,125 kW,"1,500 kg",448 L,£190 /mi
BMW,iX xDrive 50,All Wheel Drive,E,5,"£102,755",315 mi,334 Wh/mi,"2,585 kg",4.6 sec,334 mi,105.2 kWh,149 kW,"2,500 kg",500 L,£326 /mi
Mini,Aceman E,Front Wheel Drive,B,5,"£31,800",140 mi,275 Wh/mi,"1,720 kg",7.9 sec,151 mi,38.5 kWh,60 kW,750 kg,300 L,£227 /mi
Volvo,XC40 Recharge Pure Electric(MY22),Front Wheel Drive,C,5,"£48,300",190 mi,353 Wh/mi,"2,030 kg",7.4 sec,202 mi,67.0 kWh,116 kW,"1,500 kg",450 L,£254 /mi
BMW,iX2 xDrive30,All Wheel Drive,C,5,"£57,445",240 mi,270 Wh/mi,"2,095 kg",5.6 sec,257 mi,64.7 kWh,93 kW,"1,200 kg",525 L,£239 /mi
Citroën,ë-Berlingo M 50 kWh,Front Wheel Drive,N,5,"£29,740",145 mi,345 Wh/mi,"1,811 kg",11.7 sec,153 mi,50.0 kWh,80 kW,750 kg,775 L,£205 /mi
Tesla,Model S 75D,All Wheel Drive,F,5,"£72,350",235 mi,309 Wh/mi,"2,183 kg",4.4 sec,240 mi,72.5 kWh,80 kW,0 kg,804 L,£308 /mi
Polestar,2 Standard Range Single Motor,Front Wheel Drive,D,5,"£39,900",215 mi,284 Wh/mi,"2,015 kg",7.4 sec,242 mi,61.0 kWh,116 kW,"1,500 kg",440 L,£186 /mi
Polestar,2 Long Range Dual Motor(MY24),All Wheel Drive,D,5,"£52,950",280 mi,282 Wh/mi,"2,183 kg",4.5 sec,315 mi,79.0 kWh,125 kW,"1,500 kg",446 L,£189 /mi
Volkswagen,ID.3 Pro,Rear Wheel Drive,C,5,"£30,700",215 mi,270 Wh/mi,"1,812 kg",9.6 sec,235 mi,58.0 kWh,82 kW,0 kg,385 L,£143 /mi
BMW,i5 eDrive40 Saloon,Rear Wheel Drive,E,5,"£74,105",290 mi,280 Wh/mi,"2,205 kg",6.0 sec,332 mi,81.2 kWh,136 kW,"1,500 kg",490 L,£256 /mi
CUPRA,Born VZ,Rear Wheel Drive,C,5,"£44,820",285 mi,277 Wh/mi,"1,999 kg",5.6 sec,321 mi,79.0 kWh,135 kW,0 kg,385 L,£157 /mi
Polestar,2 Long Range Single Motor(MY25),Rear Wheel Drive,D,5,"£48,950",295 mi,268 Wh/mi,"2,084 kg",6.2 sec,331 mi,79.0 kWh,125 kW,"1,500 kg",448 L,£166 /mi
Vauxhall,Frontera Electric 44 kWh,Front Wheel Drive,B,5,"£22,495",145 mi,302 Wh/mi,"1,589 kg",12.1 sec,155 mi,43.8 kWh,60 kW,350 kg,460 L,£155 /mi
MG,IM6 Performance,All Wheel Drive,D,5,"£50,995",270 mi,357 Wh/mi,"2,410 kg",3.5 sec,344 mi,96.5 kWh,250 kW,unknown,697 L,£189 /mi
Nissan,LEAF 24 kWh(MY14-17),Front Wheel Drive,C,5,"£21,680",80 mi,275 Wh/mi,"1,505 kg",11.5 sec,89 mi,22.0 kWh,36 kW,unknown,370 L,£271 /mi
Fiat,600e,Front Wheel Drive,B,5,"£32,995",195 mi,261 Wh/mi,"1,595 kg",9.0 sec,207 mi,50.8 kWh,79 kW,0 kg,360 L,£169 /mi
Volvo,ES90 Twin Motor(MY26),All Wheel Drive,F,5,"£82,750",330 mi,309 Wh/mi,"2,628 kg",5.5 sec,395 mi,102.0 kWh,200 kW,"2,000 kg",468 L,£251 /mi
Peugeot,e-208(MY22),Front Wheel Drive,B,5,"£31,595",175 mi,265 Wh/mi,"1,530 kg",9.0 sec,193 mi,46.3 kWh,78 kW,0 kg,265 L,£181 /mi
Hyundai,IONIQ 5 Long Range 2WD(MY22),Rear Wheel Drive,C,5,"£46,945",240 mi,308 Wh/mi,"2,010 kg",7.3 sec,306 mi,74.0 kWh,200 kW,"1,600 kg",584 L,£196 /mi
Volkswagen,ID.3 Pro(MY24-26),Rear Wheel Drive,C,5,"£34,240",225 mi,262 Wh/mi,"1,815 kg",7.6 sec,262 mi,59.0 kWh,110 kW,0 kg,385 L,£152 /mi
Škoda,Elroq vRS(MY25),All Wheel Drive,C,5,"£46,560",280 mi,282 Wh/mi,"2,229 kg",5.4 sec,316 mi,79.0 kWh,135 kW,"1,200 kg",470 L,£166 /mi
Smart,#3 Brabus,All Wheel Drive,B,5,"£46,460",215 mi,288 Wh/mi,"1,985 kg",3.7 sec,231 mi,62.0 kWh,100 kW,"1,600 kg",385 L,£216 /mi
Škoda,Elroq 50(MY25),Rear Wheel Drive,C,5,"£30,210",190 mi,274 Wh/mi,"1,946 kg",9.0 sec,218 mi,52.0 kWh,90 kW,"1,000 kg",470 L,£159 /mi
Citroën,C5 Aircross Comfort Range,Front Wheel Drive,C,5,"£30,315",230 mi,320 Wh/mi,"2,184 kg",8.9 sec,242 mi,73.7 kWh,90 kW,"1,250 kg",565 L,£132 /mi
Hyundai,IONIQ 5 Standard Range 2WD(MY21),Rear Wheel Drive,C,5,"£43,445",185 mi,292 Wh/mi,"1,905 kg",8.5 sec,228 mi,54.0 kWh,140 kW,750 kg,588 L,£235 /mi
Hyundai,IONIQ 5 Long Range 2WD(MY21),Rear Wheel Drive,C,5,"£45,400",230 mi,304 Wh/mi,"1,985 kg",7.4 sec,285 mi,70.0 kWh,185 kW,"1,600 kg",588 L,£197 /mi
Tesla,Model Y RWD(BYD LFP),Rear Wheel Drive,D,5,"£44,990",215 mi,265 Wh/mi,"1,992 kg",6.9 sec,267 mi,57.0 kWh,140 kW,"1,600 kg",971 L,£209 /mi
Nissan,Micra Extended Range 52 kWh,Front Wheel Drive,B,5,"£25,495",205 mi,254 Wh/mi,"1,527 kg",8.0 sec,212 mi,52.0 kWh,70 kW,500 kg,326 L,£124 /mi
Tesla,Model 3 Performance,All Wheel Drive,D,5,"£59,990",290 mi,262 Wh/mi,"1,919 kg",3.6 sec,345 mi,76.0 kWh,135 kW,0 kg,649 L,£207 /mi
Volkswagen,ID. Buzz LWB Pro,Rear Wheel Drive,N,7,"£59,395",240 mi,358 Wh/mi,"2,628 kg",7.9 sec,268 mi,86.0 kWh,145 kW,"1,000 kg","1,340 L",£247 /mi
Nissan,LEAF 30 kWh(MY15-17),Front Wheel Drive,C,5,"£25,825",105 mi,267 Wh/mi,"1,538 kg",11.5 sec,107 mi,28.0 kWh,45 kW,unknown,370 L,£246 /mi
Lexus,RZ 450e(MY23-25),All Wheel Drive,D,5,"£55,595",215 mi,298 Wh/mi,"2,130 kg",5.6 sec,239 mi,64.0 kWh,100 kW,750 kg,522 L,£259 /mi
Kia,EV9 99.8 kWh AWD GT-Line,All Wheel Drive,F,7,"£73,285",265 mi,362 Wh/mi,"2,648 kg",5.3 sec,293 mi,96.0 kWh,194 kW,"2,500 kg",385 L,£277 /mi
Audi,A6 Avant e-tron,Rear Wheel Drive,E,5,"£64,340",290 mi,261 Wh/mi,"2,185 kg",6.0 sec,348 mi,75.8 kWh,150 kW,"2,100 kg",529 L,£222 /mi
Smart,#5 Premium(MY25),Rear Wheel Drive,D,5,"£47,300",285 mi,330 Wh/mi,"2,335 kg",6.5 sec,360 mi,94.0 kWh,230 kW,"1,600 kg",702 L,£166 /mi
BMW,i4 eDrive35,Rear Wheel Drive,D,5,"£51,730",270 mi,249 Wh/mi,"2,070 kg",6.0 sec,306 mi,67.1 kWh,95 kW,"1,600 kg",470 L,£192 /mi
Hyundai,IONIQ Electric,Front Wheel Drive,C,5,"£27,250",115 mi,243 Wh/mi,"1,495 kg",9.9 sec,140 mi,28.0 kWh,65 kW,0 kg,350 L,£237 /mi
Audi,Q6 SUV e-tron quattro,All Wheel Drive,D,5,"£68,975",295 mi,322 Wh/mi,"2,400 kg",5.9 sec,352 mi,94.9 kWh,200 kW,"2,400 kg",590 L,£234 /mi
Alpine,A390 GTS,All Wheel Drive,D,5,"£70,000 *",290 mi,307 Wh/mi,"2,196 kg",3.9 sec,321 mi,89.0 kWh,140 kW,"1,350 kg",532 L,£241 /mi
